feature,count,frequency
kegg__K13919,1,0.002
species__Collinsella_aerofaciens,1,0.002
kegg__K21746,1,0.002
kegg__K07319,1,0.002
immune_res__% CD4+ RO+ total IL-17+ d1,1,0.002
metab__decadienedioic acid (C10:2-DC)**,1,0.002
kegg__K01729,1,0.002
kegg__K04076,1,0.002
kegg__K10947,1,0.002
kegg__K12990,1,0.002
immune_res__% CD8+ MAIT IL-17- INFg+ d6,1,0.002
kegg__K00980,1,0.002
kegg__K03219,1,0.002
kegg__K02404,1,0.002
kegg__K09167,1,0.002
metab__ursodeoxycholate,1,0.002
metab__N-formylmethionine,1,0.002
metab__X-24475,1,0.002
kegg__K18234,1,0.002
kegg__K00762,1,0.002
immune_res__viable CD8+ MAIT d6,1,0.002
kegg__K06969,1,0.002
kegg__K01218,1,0.002
kegg__K02107,1,0.002
kegg__K05823,1,0.002
kegg__K18123,1,0.002
metab__X-11847,1,0.002
metab__3-aminoisobutyrate,1,0.002
metab__pro-hydroxy-pro,1,0.002
metab__X-24949,1,0.002
kegg__K02556,1,0.002
kegg__K02825,1,0.002
kegg__K03274,1,0.002
kegg__K16960,1,0.002
kegg__K03337,1,0.002
kegg__K06446,1,0.002
kegg__K11070,1,0.002
kegg__K03409,1,0.002
kegg__K07460,1,0.002
kegg__K02236,1,0.002
metab__deoxycholate,1,0.002
kegg__K00768,1,0.002
immune_res__% CD3- CD19- CD14+ CD16+,1,0.002
metab__X-24801,1,0.002
kegg__K02000,1,0.002
kegg__K03924,1,0.002
kegg__K18119,1,0.002
metab__X-25343,1,0.002
kegg__K04767,1,0.002
kegg__K17195,1,0.002
kegg__K00658,1,0.002
metab__N-acetyltaurine,1,0.002
kegg__K09768,1,0.002
metab__behenoylcarnitine (C22)*,1,0.002
kegg__K21467,1,0.002
immune_res__% CD3- CD19- DR+ CD14+ d0,1,0.002
kegg__K02437,1,0.002
immune_res__% CD4+ RO+ CCR6- total INFg+ d6,1,0.002
kegg__K10778,1,0.002
kegg__K07101,1,0.002
kegg__K01991,1,0.002
metab__eicosenoate (20:1),1,0.002
kegg__K05516,1,0.002
species__Blautia_wexlerae,1,0.002
metab__X-13553,1,0.002
kegg__K02069,1,0.002
metab__erythronate*,1,0.002
kegg__K13652,1,0.002
metab__3-methoxycatechol sulfate (1),1,0.002
metab__X-25279,1,0.002
kegg__K01666,1,0.002
kegg__K07451,1,0.002
immune_res__CD8+ MAIT % RO+ CD27- d0,1,0.002
kegg__K12733,1,0.002
kegg__K09685,1,0.002
metab__caproate (6:0),1,0.002
metab__3-(3-hydroxyphenyl)propionate,1,0.002
metab__docosadienoate (22:2n6),1,0.002
kegg__K10716,1,0.002
kegg__K01750,1,0.002
kegg__K00384,1,0.002
kegg__K18831,1,0.002
"metab__1,3,7-trimethylurate",1,0.002
metab__N-acetyltryptophan,1,0.002
metab__N-formylanthranilic acid,1,0.002
kegg__K09793,1,0.002
kegg__K02421,1,0.002
kegg__K00784,1,0.002
kegg__K07474,1,0.002
kegg__K00943,1,0.002
kegg__K06941,1,0.002
metab__X-25265,1,0.002
metab__17alpha-hydroxypregnenolone 3-sulfate,1,0.002
"metab__bilirubin (E,Z or Z,E)*",1,0.002
species__Alistipes_ihumii,1,0.002
kegg__K00626,1,0.002
kegg__K03326,1,0.002
kegg__K04565,1,0.002
"metab__1,5-anhydroglucitol (1,5-AG)",1,0.002
kegg__K17758,1,0.002
metab__3beta-hydroxy-5-cholestenoate,1,0.002
kegg__K02244,1,0.002
kegg__K22933,1,0.002
immune_res__% CD14+ d0,1,0.002
species__Ruminococcus_lactaris,1,0.002
kegg__K01950,1,0.002
kegg__K11105,1,0.002
metab__taurolithocholate 3-sulfate,1,0.002
metab__glucuronide of C10H18O2 (8)*,1,0.002
kegg__K16906,1,0.002
kegg__K07161,1,0.002
species__Anaerobutyricum_hallii,1,0.002
kegg__K14155,1,0.002
kegg__K00567,1,0.002
kegg__K03830,1,0.002
kegg__K14192,1,0.002
species__GGB9342_SGB14306,1,0.002
species__Bacteroides_thetaiotaomicron,1,0.002
metab__citraconate/glutaconate,1,0.002
kegg__K04561,1,0.002
kegg__K06996,1,0.002
kegg__K11689,1,0.002
metab__1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),1,0.002
kegg__K07318,1,0.002
kegg__K06392,1,0.002
kegg__K14988,1,0.002
immune_res__% CD8+ total TNFa+ d1,1,0.002
kegg__K00096,1,0.002
immune_res__% CD8+ IL-17+ IL-22- d6,1,0.002
species__Bacteroides_eggerthii,1,0.002
metab__4-hydroxyhippurate,1,0.002
kegg__K03851,1,0.002
kegg__K12240,1,0.002
kegg__K10006,1,0.002
kegg__K07484,1,0.002
kegg__K02796,1,0.002
kegg__K01499,1,0.002
immune_res__total % CD4+ d6,1,0.002
kegg__K19422,1,0.002
kegg__K01223,1,0.002
kegg__K22226,1,0.002
kegg__K07126,1,0.002
kegg__K17865,1,0.002
metab__N6-methyllysine,1,0.002
kegg__K01918,1,0.002
kegg__K19429,1,0.002
metab__X-16576,1,0.002
metab__octanoylcarnitine (C8),1,0.002
metab__nonanoylcarnitine (C9),1,0.002
immune_res__% CD4+ RO+ INFg- IL-17+ d1,1,0.002
immune_res__% CD4+ RO+ CCR6+ CD161+ IL-17+ INFg- d6,1,0.002
kegg__K02416,1,0.002
metab__dimethylarginine (SDMA + ADMA),1,0.002
kegg__K10797,1,0.002
metab__phenol sulfate,1,0.002
kegg__K07316,1,0.002
kegg__K07079,1,0.002
kegg__K19050,1,0.002
species__Alistipes_finegoldii,1,0.002
immune_res__CD3+ gdTCR+ CD3lo,1,0.002
kegg__K12556,1,0.002
metab__N-acetylcarnosine,1,0.002
kegg__K15600,1,0.002
